"","Accession name","CUAL","LNGS","PTLC","DSTA","LFRT","LBTEF","CBTR","NMLB","ANGB","CUAL9M","LVC9M","TNPR9M","PL9M","STRP","STRC","PSTR","NMSR","TTRN","TFWSR","TTRW","TFWSS","TTSW","TTPW","AVPW","ARSR","SRDM"
"67","TMe-274","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","Cream","4","450-600","Purple","Green purple","4","Medium (15-20cm)","Short","Absent","Tending toward horizontal",12,4,6.2,2.06666666666667,17,5.66666666666667,23.2,7.73333333333333,0,30.6
"68","TMe-275","Green purple","Long","Green purple","Top part","50-75% leaf retention","2","White","2","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Irregular",13,4.33333333333333,2,0.666666666666667,3.2,1.06666666666667,5.2,1.73333333333333,1,41
"69","TMe-276","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","2","White","3","450-600","Light green","Green purple","2","Medium (15-20cm)","Short","Present","Irregular",4,2,1.6,0.8,1.2,0.6,2.8,1.4,1,40.6
"70","TMe-289","Light green","Medium","Green purple","Central part","<25% leaf retention","0","Cream","0","No branching","Light green","Dark green","2","Medium (15-20cm)","Short","Absent","Tending toward horizontal",1,0.5,0.4,0.2,0.6,0.3,1,0.5,0,29
"71","TMe-290","Green purple","Long","Green purple","Central part","50-75% leaf retention","4","White","4","450-600","Green purple","Light green","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",16,3.2,4.6,0.92,6.4,1.28,11,2.2,4,38.3
"73","TMe-294","Green purple","Medium","Green purple","Top part","50-75% leaf retention","3","Cream","2","150-300","Green purple","Dark green","4","Long (25-30cm)","Absent","Absent","Tending toward horizontal",10,2,0.4,0.08,2,0.4,2.4,0.48,3,34.3
"75","TMe-298","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","2","White","2","150-300","Dark green","Green purple","2","Long (25-30cm)","Absent","Absent","Tending toward horizontal",2,1,0.2,0.1,1,0.5,1.2,0.6,0,42.1
"76","TMe-299","Green purple","Long","Green purple","Central part","50-75% leaf retention","4","Cream","5","150-300","Green purple","Dark green","4","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",17,5.66666666666667,6.6,2.2,14.2,4.73333333333333,20.8,6.93333333333333,2,37.1
"77","TMe-300","Green purple","Long","Green purple","Central part","50-75% leaf retention","0","Cream","1","150-300","Purple","Dark green","4","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",11,3.66666666666667,1.6,0.533333333333333,3.4,1.13333333333333,5,1.66666666666667,1,41.3
"78","TMe-304","Dark green","Medium","Purple","Totally pigmented","50-75% leaf retention","0","Cream","0","No branching","Dark green","Green purple","3","Long (25-30cm)","Short","Present","Tending toward horizontal",4,1,1,0.25,1.2,0.3,2.2,0.55,1,39.7
